data,preco
2020-04-20,177.0
2020-04-22,179.99
2020-04-23,181.98
2020-04-24,177.1
2020-04-27,176.15
2020-04-28,177.2
2020-04-29,176.88
2020-04-30,173.0
2020-05-04,167.99
2020-05-05,165.02
2020-05-06,166.0
2020-05-07,165.55
2020-05-08,169.79
2020-05-11,173.89
2020-05-12,175.8
2020-05-13,173.71
2020-05-14,173.9
2020-05-15,174.47
2020-05-18,175.2
2020-05-19,176.66
2020-05-20,176.98
2020-05-21,175.1
2020-05-22,179.05
2020-05-25,180.2
2020-05-26,180.75
2020-05-27,177.97
2020-05-28,181.0
2020-05-29,181.95
2020-06-01,183.4
2020-06-02,188.31
2020-06-03,187.38
2020-06-04,187.3
2020-06-05,192.6
2020-06-08,190.5
2020-06-09,190.8
2020-06-10,189.28
2020-06-12,188.61
2020-06-15,189.37
2020-06-16,189.0
2020-06-17,189.43
2020-06-18,190.95
2020-06-19,191.53
2020-06-22,188.08
2020-06-23,187.32
2020-06-24,187.07
2020-06-25,188.0
2020-06-26,189.0
2020-06-29,188.7
2020-06-30,189.94
2020-07-01,189.89
2020-07-02,190.0
2020-07-03,189.0
2020-07-06,191.77
2020-07-07,196.5
2020-07-08,194.6
2020-07-09,177.0
2020-07-10,179.5
2020-07-13,172.7
2020-07-14,169.1
2020-07-15,169.15
2020-07-16,175.0
2020-07-17,175.0
2020-07-20,171.89
2020-07-21,172.99
2020-07-22,174.05
2020-07-23,176.0
2020-07-24,176.86
2020-07-27,174.94
2020-07-28,176.88
2020-07-29,179.0
2020-07-30,179.0
2020-07-31,180.0
2020-08-03,178.83
2020-08-04,177.73
2020-08-05,177.95
2020-08-06,175.83
2020-08-07,178.0
2020-08-10,180.5
2020-08-11,183.99
2020-08-12,185.2
2020-08-13,186.82
2020-08-14,184.55
2020-08-17,188.0
2020-08-18,187.2
2020-08-19,187.29
2020-08-20,187.5
2020-08-21,189.29
2020-08-24,189.99
2020-08-25,185.0
2020-08-26,188.5
2020-08-27,188.29
2020-08-28,187.8
2020-08-31,182.0
2020-09-01,171.86
2020-09-02,173.4
2020-09-03,174.0
2020-09-04,173.98
2020-09-08,173.0
2020-09-09,172.9
2020-09-10,171.3
2020-09-11,170.78
2020-09-14,169.54
2020-09-15,168.44
2020-09-16,167.67
2020-09-17,167.16
2020-09-18,166.99
2020-09-21,165.64
2020-09-22,168.2
2020-09-23,168.3
2020-09-24,168.55
2020-09-25,168.63
2020-09-28,168.6
2020-09-29,168.9
2020-09-30,169.99
2020-10-01,169.98
2020-10-02,170.99
2020-10-05,169.8
2020-10-06,170.4
2020-10-07,171.28
2020-10-08,171.77
2020-10-09,172.96
2020-10-13,174.5
2020-10-14,174.5
2020-10-15,173.5
2020-10-16,173.6
2020-10-19,172.26
2020-10-20,171.75
2020-10-21,170.65
2020-10-22,170.05
2020-10-23,170.61
2020-10-26,169.8
2020-10-27,169.07
2020-10-28,165.7
2020-10-29,166.7
2020-10-30,164.0
2020-11-03,163.31
2020-11-04,163.6
2020-11-05,166.5
2020-11-06,167.02
2020-11-09,167.63
2020-11-10,168.94
2020-11-11,168.98
2020-11-12,168.5
2020-11-13,167.25
2020-11-16,168.0
2020-11-17,168.23
2020-11-18,168.9
2020-11-19,168.35
2020-11-20,167.9
2020-11-23,167.19
2020-11-24,166.43
2020-11-25,167.78
2020-11-26,168.2
2020-11-27,168.39
2020-11-30,167.7
2020-12-01,167.71
2020-12-02,168.0
2020-12-03,168.05
2020-12-04,168.0
2020-12-07,168.0
2020-12-08,169.01
2020-12-09,167.05
2020-12-10,167.46
2020-12-11,167.8
2020-12-14,167.81
2020-12-15,168.15
2020-12-16,168.2
2020-12-17,168.9
2020-12-18,169.01
2020-12-21,170.0
2020-12-22,171.84
2020-12-23,173.15
2020-12-28,175.0
2020-12-29,178.59
2020-12-30,181.0
2021-01-04,179.75
2021-01-05,178.54
2021-01-06,180.36
2021-01-07,180.3
2021-01-08,181.9
2021-01-11,181.58
2021-01-12,181.46
2021-01-13,181.84
2021-01-14,180.45
2021-01-15,180.95
2021-01-18,181.1
2021-01-19,181.5
2021-01-20,181.05
2021-01-21,181.07
2021-01-22,181.33
2021-01-26,180.95
2021-01-27,180.92
2021-01-28,180.86
2021-01-29,179.65
2021-02-01,177.19
2021-02-02,179.25
2021-02-03,179.75
2021-02-04,177.99
2021-02-05,178.57
2021-02-08,177.92
2021-02-09,178.54
2021-02-10,178.3
2021-02-11,178.51
2021-02-12,178.3
2021-02-17,178.3
2021-02-18,177.89
2021-02-19,178.0
2021-02-22,177.55
2021-02-23,178.75
2021-02-24,178.73
2021-02-25,178.15
2021-02-26,179.0
2021-03-01,178.7
2021-03-02,178.58
2021-03-03,177.77
2021-03-04,177.78
2021-03-05,176.51
2021-03-08,173.21
2021-03-09,176.75
2021-03-10,176.13
2021-03-11,177.0
2021-03-12,177.0
2021-03-15,177.0
2021-03-16,176.78
2021-03-17,176.2
2021-03-18,175.2
2021-03-19,171.5
2021-03-22,173.5
2021-03-23,172.01
2021-03-24,171.98
2021-03-25,170.54
2021-03-26,169.7
2021-03-29,172.0
2021-03-30,172.9
2021-03-31,175.99
2021-04-01,174.65
2021-04-05,173.49
2021-04-06,172.5
2021-04-07,172.2
2021-04-08,171.99
2021-04-09,172.5
2021-04-12,172.39
2021-04-13,172.0
2021-04-14,171.91
2021-04-15,172.0
2021-04-16,172.0
2021-04-19,171.52
2021-04-20,171.25
2021-04-22,171.52
2021-04-23,171.91
2021-04-26,172.01
2021-04-27,171.94
2021-04-28,171.0
2021-04-29,172.1
2021-04-30,174.0
2021-05-03,171.5
2021-05-04,171.05
2021-05-05,171.0
2021-05-06,171.71
2021-05-07,171.66
2021-05-10,170.93
2021-05-11,170.4
2021-05-12,170.87
2021-05-13,171.71
2021-05-14,171.23
2021-05-17,170.89
2021-05-18,170.09
2021-05-19,169.78
2021-05-20,170.25
2021-05-21,169.41
2021-05-24,169.51
2021-05-25,169.6
2021-05-26,170.0
2021-05-27,169.04
2021-05-28,169.95
2021-05-31,169.54
2021-06-01,169.5
2021-06-02,169.9
2021-06-04,170.48
2021-06-07,166.89
2021-06-08,165.4
2021-06-09,167.02
2021-06-10,167.05
2021-06-11,167.8
2021-06-14,167.54
2021-06-15,168.01
2021-06-16,168.6
2021-06-17,167.52
2021-06-18,171.49
2021-06-21,170.58
2021-06-22,170.37
2021-06-23,170.55
2021-06-24,171.0
2021-06-25,167.5
2021-06-28,165.5
2021-06-29,170.0
2021-06-30,168.6
2021-07-01,168.62
2021-07-02,169.79
2021-07-05,169.79
2021-07-06,169.8
2021-07-07,170.08
2021-07-08,170.11
2021-07-12,169.99
2021-07-13,170.0
2021-07-14,169.92
2021-07-15,170.2
2021-07-16,170.5
2021-07-19,172.47
2021-07-20,176.04
2021-07-21,176.2
2021-07-22,172.9
2021-07-23,169.01
2021-07-26,170.15
2021-07-27,168.85
2021-07-28,169.02
2021-07-29,169.21
2021-07-30,168.97
2021-08-02,167.02
2021-08-03,167.02
2021-08-04,165.42
2021-08-05,165.42
2021-08-06,166.5
2021-08-09,165.05
2021-08-10,164.9
2021-08-11,165.91
2021-08-12,165.84
2021-08-13,166.24
2021-08-16,166.3
2021-08-17,165.77
2021-08-18,163.5
2021-08-19,163.73
2021-08-20,162.99
2021-08-23,163.8
2021-08-24,162.2
2021-08-25,162.56
2021-08-26,162.69
2021-08-27,163.55
2021-08-30,164.2
2021-08-31,162.81
2021-09-01,161.6
2021-09-02,161.35
2021-09-03,160.51
2021-09-06,162.34
2021-09-08,161.88
2021-09-09,162.84
2021-09-10,162.05
2021-09-13,162.18
2021-09-14,161.8
2021-09-15,162.68
2021-09-16,162.23
2021-09-17,161.94
2021-09-20,161.25
2021-09-21,160.79
2021-09-22,162.2
2021-09-23,162.25
2021-09-24,162.59
2021-09-27,163.5
2021-09-28,163.19
2021-09-29,163.15
2021-09-30,165.0
2021-10-01,164.0
2021-10-04,163.8
2021-10-05,163.22
2021-10-06,164.0
2021-10-07,164.05
2021-10-08,164.5
2021-10-11,166.0
