data,imab5
16-02-2006,1.159676178
17-02-2006,1.164293752
20-02-2006,1.167552616
21-02-2006,1.167286526
22-02-2006,1.167516623
23-02-2006,1.169515654
24-02-2006,1.170160817
01-03-2006,1.172093224
02-03-2006,1.176376422
03-03-2006,1.178997652
06-03-2006,1.176951228
07-03-2006,1.170662059
08-03-2006,1.167612471
09-03-2006,1.170531226
10-03-2006,1.174023700
13-03-2006,1.173845771
14-03-2006,1.174872924
15-03-2006,1.179861552
16-03-2006,1.180209136
17-03-2006,1.178749851
20-03-2006,1.176360680
21-03-2006,1.172457734
22-03-2006,1.173700959
23-03-2006,1.171972723
24-03-2006,1.170196565
27-03-2006,1.167925859
28-03-2006,1.166292941
29-03-2006,1.171565967
30-03-2006,1.174813882
31-03-2006,1.174723438
03-04-2006,1.176919635
04-04-2006,1.178526845
05-04-2006,1.181278591
06-04-2006,1.180188691
07-04-2006,1.177742823
10-04-2006,1.173653749
11-04-2006,1.173227852
12-04-2006,1.174589189
13-04-2006,1.176069287
17-04-2006,1.177442650
18-04-2006,1.183689233
19-04-2006,1.185507097
20-04-2006,1.183180135
24-04-2006,1.180857944
25-04-2006,1.180824930
26-04-2006,1.182138126
27-04-2006,1.181900555
28-04-2006,1.182917239
02-05-2006,1.184101146
03-05-2006,1.183848333
04-05-2006,1.184189923
05-05-2006,1.184527422
08-05-2006,1.183728952
09-05-2006,1.185105257
10-05-2006,1.185622823
11-05-2006,1.183769717
12-05-2006,1.182348233
15-05-2006,1.181908704
16-05-2006,1.184313224
17-05-2006,1.181875541
18-05-2006,1.181276148
19-05-2006,1.177624762
22-05-2006,1.166913220
23-05-2006,1.164018901
24-05-2006,1.149250042
25-05-2006,1.165068577
26-05-2006,1.173103060
29-05-2006,1.170293136
30-05-2006,1.161795498
31-05-2006,1.162116229
01-06-2006,1.166722016
02-06-2006,1.168040509
05-06-2006,1.166398609
06-06-2006,1.164847637
07-06-2006,1.164618063
08-06-2006,1.164735014
09-06-2006,1.165188329
12-06-2006,1.162918112
13-06-2006,1.162481053
14-06-2006,1.162481635
16-06-2006,1.166533158
19-06-2006,1.166400999
20-06-2006,1.167141426
21-06-2006,1.170314089
22-06-2006,1.170977801
23-06-2006,1.172031166
26-06-2006,1.172091706
27-06-2006,1.172268101
28-06-2006,1.174157806
29-06-2006,1.179925578
30-06-2006,1.184635681
03-07-2006,1.188326401
04-07-2006,1.192726303
05-07-2006,1.189617581
06-07-2006,1.192550417
07-07-2006,1.193529731
10-07-2006,1.195434551
11-07-2006,1.196406463
12-07-2006,1.195053116
13-07-2006,1.193831433
14-07-2006,1.194813882
17-07-2006,1.198146051
18-07-2006,1.198969305
19-07-2006,1.202246310
20-07-2006,1.203529350
21-07-2006,1.203146740
24-07-2006,1.203639950
25-07-2006,1.207276154
26-07-2006,1.209923441
27-07-2006,1.209784970
28-07-2006,1.212793039
31-07-2006,1.212810567
01-08-2006,1.212831470
02-08-2006,1.213780742
03-08-2006,1.214823500
04-08-2006,1.217220226
07-08-2006,1.219961032
08-08-2006,1.223858915
09-08-2006,1.225434547
10-08-2006,1.227341917
11-08-2006,1.228448285
14-08-2006,1.226641053
15-08-2006,1.229028737
16-08-2006,1.230525885
17-08-2006,1.231596304
18-08-2006,1.230723202
21-08-2006,1.230968249
22-08-2006,1.233102124
23-08-2006,1.230757954
24-08-2006,1.229245191
