data,valor
2021-02-04,2883.2200
2021-02-03,2881.8401
2021-02-02,2880.7000
2021-02-01,2874.9099
2021-01-29,2879.4500
2021-01-28,2872.1599
2021-01-27,2861.1799
2021-01-26,2861.7400
2021-01-22,2862.9700
2021-01-21,2870.6001
2021-01-20,2870.2100
2021-01-19,2866.3000
2021-01-18,2860.2100
2021-01-15,2857.9399
2021-01-14,2854.9900
2021-01-13,2851.8601
2021-01-12,2855.4700
2021-01-11,2863.8000
2021-01-08,2867.3999
2021-01-07,2863.5100
2021-01-06,2869.7400
2021-01-05,2867.5300
2021-01-04,2867.4700
2020-12-30,2870.1499
2020-12-29,2855.0400
2020-12-28,2834.6399
2020-12-23,2828.4399
2020-12-22,2807.1499
2020-12-21,2794.5601
2020-12-18,2794.4299
2020-12-17,2775.7800
2020-12-16,2770.6399
2020-12-15,2767.4299
2020-12-14,2761.4099
2020-12-11,2768.6699
2020-12-10,2767.5801
2020-12-09,2770.6599
2020-12-08,2780.0000
2020-12-07,2783.2400
2020-12-04,2794.1799
2020-12-03,2800.6201
2020-12-02,2797.7300
2020-12-01,2803.5100
2020-11-30,2808.5601
2020-11-27,2811.5300
2020-11-26,2800.3799
2020-11-25,2799.5000
2020-11-24,2796.5100
2020-11-23,2796.9299
2020-11-20,2796.0400
2020-11-19,2794.7900
2020-11-18,2800.8899
2020-11-17,2802.8101
2020-11-16,2802.8899
2020-11-13,2803.3999
2020-11-12,2801.2600
2020-11-11,2806.6599
2020-11-10,2807.1499
2020-11-09,2802.9500
2020-11-06,2795.0300
2020-11-05,2785.9900
2020-11-04,2772.4900
2020-11-03,2766.5500
2020-10-30,2766.7600
2020-10-29,2774.5801
2020-10-28,2772.9199
2020-10-27,2803.0100
2020-10-26,2809.8601
2020-10-23,2820.4399
2020-10-22,2826.9900
2020-10-21,2828.7500
2020-10-20,2823.7500
2020-10-19,2818.1001
2020-10-16,2816.8301
2020-10-15,2812.6799
2020-10-14,2809.7400
2020-10-13,2808.2700
2020-10-09,2807.7700
2020-10-08,2804.7800
2020-10-07,2799.2700
2020-10-06,2795.0500
2020-10-05,2788.6399
2020-10-02,2794.9099
2020-10-01,2789.1499
2020-09-30,2794.8799
2020-09-29,2784.2000
2020-09-28,2782.1799
2020-09-25,2788.1101
2020-09-24,2789.5701
2020-09-23,2790.1899
2020-09-22,2788.8101
2020-09-21,2787.2700
2020-09-18,2797.8201
2020-09-17,2800.0400
2020-09-16,2802.7600
2020-09-15,2802.1899
2020-09-14,2792.7600
2020-09-11,2791.8000
2020-09-10,2793.0100
2020-09-09,2788.5300
2020-09-08,2786.8201
2020-09-04,2789.0200
2020-09-03,2779.6201
2020-09-02,2782.6899
2020-09-01,2774.6599
2020-08-31,2782.1001
2020-08-28,2781.8401
2020-08-27,2777.8701
2020-08-26,2776.6699
2020-08-25,2777.3999
2020-08-24,2780.1799
2020-08-21,2770.6599
2020-08-20,2760.7800
2020-08-19,2758.4600
2020-08-18,2755.2500
2020-08-17,2748.6001
2020-08-14,2755.6699
2020-08-13,2747.5601
2020-08-12,2740.7700
2020-08-11,2745.3799
2020-08-10,2745.6699
2020-08-07,2732.4399
2020-08-06,2712.4500
2020-08-05,2720.5200
2020-08-04,2714.2900
2020-08-03,2714.2700
2020-07-31,2733.1201
2020-07-30,2733.6499
2020-07-29,2723.2400
2020-07-28,2722.7100
2020-07-27,2722.7700
2020-07-24,2730.9199
2020-07-23,2732.8401
2020-07-22,2735.6899
2020-07-21,2732.1899
2020-07-20,2724.5100
2020-07-17,2741.6399
2020-07-16,2743.4399
2020-07-15,2746.2300
2020-07-14,2742.7000
2020-07-13,2751.1799
2020-07-10,2766.9099
2020-07-09,2766.1001
2020-07-08,2779.5801
2020-07-07,2798.3301
2020-07-06,2802.4099
2020-07-03,2813.1599
2020-07-02,2813.1499
2020-07-01,2816.0400
2020-06-30,2806.2800
2020-06-29,2787.2400
2020-06-26,2790.3799
2020-06-25,2793.0500
2020-06-24,2786.7200
2020-06-23,2793.5100
2020-06-22,2792.4199
2020-06-19,2804.0100
2020-06-18,2794.6699
2020-06-17,2789.0701
2020-06-16,2783.4900
2020-06-15,2777.8201
2020-06-12,2782.0200
2020-06-10,2799.3799
2020-06-09,2792.4500
2020-06-08,2793.5200
2020-06-05,2772.8301
2020-06-04,2744.8000
2020-06-03,2730.4299
2020-06-02,2704.7200
2020-06-01,2676.2300
2020-05-29,2657.6799
2020-05-28,2640.3201
2020-05-27,2627.9600
2020-05-26,2615.5400
2020-05-25,2604.3201
2020-05-22,2588.1001
2020-05-21,2575.6599
2020-05-20,2569.8999
2020-05-19,2567.3101
2020-05-18,2563.8301
2020-05-15,2563.3000
2020-05-14,2548.0300
2020-05-13,2558.5901
2020-05-12,2581.1799
2020-05-11,2588.0901
2020-05-08,2582.7800
2020-05-07,2579.9700
2020-05-06,2586.3601
2020-05-05,2587.5500
2020-05-04,2582.4900
2020-04-30,2603.6201
2020-04-29,2593.2600
2020-04-28,2572.8701
2020-04-27,2556.9099
2020-04-24,2528.5300
2020-04-23,2592.5400
2020-04-22,2573.0601
2020-04-20,2555.5500
2020-04-17,2559.4800
2020-04-16,2550.1799
2020-04-15,2544.4399
2020-04-14,2549.1699
2020-04-13,2527.6599
2020-04-09,2520.2100
2020-04-08,2503.8101
